"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6330","Create a new temp","","2026-06-13","passed","2026-06-13","","","",""
"","7179","Enable Flat Pay for a temp","","2026-06-13","passed","2026-06-13","","","",""
"","22721","Create a new order","","2026-06-13","passed","2026-06-13","","","",""
"","126132","Save Client Time Entry and Approval settings with given values","","2026-06-13","broken","2026-06-13","","","",""
"","5688","Create a new client","","2026-06-13","passed","2026-06-13","","","",""
"","1652","Successful login with valid credentials","","2026-06-13","passed","2026-06-13","","","",""
"","16811","Verify client oriented with temp","","2026-06-13","passed","2026-06-13","","","",""
"","10074","Create a new client and verify the details with API call","","2026-06-13","passed","2026-06-13","","","",""
"","11275","Download and verify Temp Profiles by Certification report","","2026-06-13","passed","2026-06-13","","","",""
"","11236","Create temp, download Temp Profiles report, and verify temp exists via API","","2026-06-13","passed","2026-06-13","","","",""
"","11419","Download and verify Temp Profiles report","","2026-06-13","passed","2026-06-13","","","",""
"","14450","Verify Permanent Driving Distance for temp facility","","2026-06-13","passed","2026-06-13","","","",""
"","7140","Enable Flat Pay for a temp","","2026-06-13","passed","2026-06-13","","","",""
"","8057","Enable Flat Pay for a temp","","2026-06-13","passed","2026-06-13","","","",""
"","1775","Successful login with default credentials","","2026-06-13","passed","2026-06-13","","","",""
"","13966","Verify client Preferred with temp","","2026-06-13","passed","2026-06-13","","","",""
"","19663","Create a new temp and verify the details with API call","","2026-06-13","passed","2026-06-13","","","",""
"","8494","Download and verify Client Profiles report","","2026-06-13","passed","2026-06-13","","","",""
"","125537","Save Client Time Entry and Approval settings with given values","","2026-06-13","broken","2026-06-13","","","",""
"","11275","Client Requires Orientation set to yes with Warn","","2026-06-13","passed","2026-06-13","","","",""
